season,era,goals_per_game,total_goals,survival_points_17th,ucl_points_4th,ucl_points_5th,notes,goals_source,points_source
2009-10,Possession Age,2.63,1053,31,67,,Lowest survival points in modern era — Hull (30pts) and Burnley (30pts) both relegated,Premier League official stats,Premier League historical tables
2010-11,Possession Age,2.80,1063,40,70,,Birmingham relegated despite 39pts — 17th place needed 40 to survive,Premier League official stats,Premier League historical tables
2011-12,Possession Age,2.81,1066,36,70,,Man City win title on goal difference over Man Utd,Premier League official stats,Premier League historical tables
2012-13,Possession Age,2.77,1052,36,72,,Man Utd win title by 11 points under Moyes predecessor Ferguson,Premier League official stats,Premier League historical tables
2013-14,Possession Age,2.77,1052,33,69,,Liverpool 2nd — Suárez 31 goals,Premier League official stats,Premier League historical tables
2014-15,Transition,2.72,1033,36,66,,Chelsea win title; Leicester avoid relegation on final day,Premier League official stats,Premier League historical tables
2015-16,Pressing Revolution,2.69,1021,36,68,,Leicester win the title at 5000-1; pressing and counter-press approaches merge,Premier League official stats,Premier League historical tables
2016-17,Pressing Revolution,2.80,1064,35,70,,Chelsea win at canter; Spurs finish 2nd,Premier League official stats,Premier League historical tables
2017-18,Pressing Revolution,2.72,1033,36,75,,Man City win with record 100 points; Stoke relegated on 36pts,Premier League official stats,Premier League historical tables
2018-19,Pressing Revolution,2.72,1032,36,71,,Liverpool (97pts) pipped by City (98pts) — tightest ever title race,Premier League official stats,Premier League historical tables
2019-20,Pressing Revolution,2.68,1016,36,63,,COVID curtailed — played to completion in empty stadiums; Liverpool first title in 30 years,Premier League official stats,Premier League historical tables
2020-21,Pressing Revolution,2.75,956,34,69,,Played entirely behind closed doors; West Brom relegated despite 26pts,Premier League official stats,Premier League historical tables
2021-22,Counter-Revolution,2.82,1071,36,70,,Man City win; Liverpool runners up on 92pts — both above previous title records,Premier League official stats,Premier League historical tables
2022-23,Counter-Revolution,2.85,1081,36,72,,Man City win historic treble; Leicester relegated as defending champions,Premier League official stats,Premier League historical tables
2023-24,Counter-Revolution,3.28,1246,32,73,,All-time record goal season; Nottingham Forest survival on 32pts sets new low-water mark,Premier League official stats / Opta,Premier League historical tables
2024-25,Counter-Revolution,2.99,1135,35,74,74,Liverpool win title; first season with 5 automatic UCL spots (EPS),Premier League official stats,Premier League historical tables
